age,hh_fthr_frm,hh_size96,hh_land,landrich,hh_cattle,hh_stock,hh_plow_any,fthr_ed0,fthr_ed,mthr_ed0,mthr_ed,no_fthr96,no_mthr96,orphan96,abd,vote05
16,1,7,6,0,1,2,0,0,7,0,7,0,0,0,0,NA
17,1,14,7.909046173,0,60,17,1,0,10,1,0,0,1,0,0,0
29,1,14,7.909046173,0,60,17,1,1,0,1,0,0,0,0,0,1
14,0,9,100,1,0,0,1,0,12,0,12,1,1,1,0,NA
27,1,6,15,0,0,0,0,0,10,1,0,0,0,0,1,1
21,1,6,15,0,0,0,0,0,4,1,0,1,0,0,1,0
22,1,13,10,0,0,65,1,0,4,1,0,0,0,0,0,1
26,1,13,10,0,0,65,1,0,10,1,0,1,0,0,0,1
25,1,7,37.04999924,0,0,0,0,0,4,1,0,0,0,0,1,1
15,1,5,24.70000076,0,0,5,0,0,4,0,4,0,0,0,0,NA
14,1,10,12.35788441,0,0,0,0,0,4,0,4,0,0,0,0,NA
27,1,6,2.965892315,0,0,0,0,0,10,1,0,0,0,0,1,1
27,1,2,24.70000076,0,0,6,0,0,4,1,0,0,0,0,1,1
14,1,8,6,0,0,0,0,0,4,0,4,0,0,0,0,NA
25,1,4,6,0,0,0,0,0,4,1,0,1,0,0,0,1
14,1,7,6,0,0,0,0,0,7,0,7,0,0,0,1,NA
15,1,5,30,0,0,0,0,0,7,0,10,1,1,1,1,NA
16,1,10,60,1,0,0,0,0,4,0,4,0,0,0,1,NA
24,1,7,10,0,0,0,0,0,4,1,0,0,0,0,1,1
15,1,6,20,0,0,0,0,0,4,0,4,0,0,0,1,NA
19,1,10,15,0,0,3,0,0,4,1,0,1,0,0,1,1
24,1,7,15,0,0,0,0,0,4,1,0,0,0,0,1,0
22,1,3,3,0,0,0,0,0,10,0,10,0,0,0,1,0
